STT,Từ Vựng (Kanji),Cách Đọc (Hiragana),Hán Việt,Ý Nghĩa Tiếng Việt,English Meaning,Ví Dụ (Example)
61,約束,やくそく,ƯỚC THÚC,"Lời hứa, hẹn ước","promise, appointment",彼と結婚の約束をした。約束の時間を守る。
62,おしゃべり,おしゃべり,,"Nói chuyện, thích nói chuyện","chatting, talkative",授業中に隣の人とおしゃべりしていて怒られた。
63,遠慮,えんりょ,VIỄN LỰ,"Khách khí, ngại ngần, kiêng dè","reserve, refraining",遠慮しないで食べてください。
64,我慢,がまん,NGÃ MẠN,"Chịu đựng, nhẫn nại","endurance, patience",痛くてもがまんする。
65,迷惑,めいわく,MÊ HOẶC,"Phiền hà, quấy rầy","nuisance, trouble",人に迷惑をかけてはいけない。
66,希望,きぼう,HY VỌNG,"Hy vọng, nguyện vọng","hope, wish",最後まで希望を捨ててはいけない。
67,夢,ゆめ,MỘNG,"Giấc mơ, ước mơ",dream,きのう、こわい夢を見た。将来の夢は何ですか。
68,賛成,さんせい,TÁN THÀNH,"Tán thành, đồng ý","agreement, support",私はその提案に賛成だ。
69,反対,はんたい,PHẢN ĐỐI,"Phản đối, ngược lại","opposite, opposition",彼の意見には反対だ。プラスの反対はマイナスだ。
70,想像,そうぞう,TƯỞNG TƯỢNG,Tưởng tượng,imagination,想像と現実は違う。100年後の未来を想像する。
71,努力,どりょく,NỖ LỰC,"Nỗ lực, cố gắng",effort,一生懸命、努力をする。
72,太陽,たいよう,THÁI DƯƠNG,Mặt trời,sun,太陽が昇って、暖かくなった。
73,地球,ちきゅう,ĐỊA CẦU,Trái đất,earth,地球の環境が悪化している。
74,温度,おんど,ÔN ĐỘ,Nhiệt độ,temperature,温度を測る。温度が上がる。
75,湿度,しつど,THẤP ĐỘ,Độ ẩm,humidity,今年の夏は特に湿度が高い。
76,湿気,しっけ,THẤP KHÍ,"Hơi ẩm, sự ẩm ướt","moisture, humidity",日本の夏は湿気が多い。
77,梅雨,つゆ,MAI VŨ,Mùa mưa (đầu hè Nhật),rainy season,6月から7月は梅雨の時期だ。
78,かび,かび,,Nấm mốc,mold,梅雨の時期はかびがはえやすい。
79,暖房,だんぼう,NOÃN PHÒNG,"Hệ thống sưởi, lò sưởi","heater, heating",寒いので暖房をつける。
80,皮,かわ,BÌ,"Da, vỏ ngoài","skin, hide, peel",りんごの皮をむいて食べる。
81,缶,かん,PHỮU,"Lon, hộp kim loại",can,おかしを缶に入れて保存する。
82,画面,がめん,HỌA DIỆN,Màn hình,screen,パソコンの画面をずっと見ていると、目が疲れる。
83,番組,ばんぐみ,PHIÊN TỔ,Chương trình (truyền hình/radio),TV/radio program,テレビの番組を見る。
84,記事,きじ,KÝ SỰ,"Bài báo, bài viết",article,この記事によると、日本に住む外国人が増えているそうだ。
85,近所,きんじょ,CẬN SỞ,"Hàng xóm, vùng lân cận",neighborhood,近所の人とは仲良くしたほうがいい。
86,警察,けいさつ,CẢNH SÁT,Cảnh sát,police,自転車を盗まれたので、警察に届けた。
87,犯人,はんにん,PHẠM NHÂN,"Thủ phạm, tội phạm",criminal,警察が事件の犯人をつかまえる。
88,小銭,こぜに,TIỂU TIỀN,Tiền lẻ,small change,バスに乗ってから小銭がないことに気がついた。
89,ごちそう,ごちそう,,"Bữa tiệc / Chiêu đãi, khao","feast, treating to a meal",家族みんなでごちそうを食べて祝った。
90,作者,さくしゃ,TÁC GIẢ,Tác giả,"writer, artist",「ハムレット」の作者はシェイクスピアです。
91,作品,さくひん,TÁC PHẨM,Tác phẩm,work of art/literature,学生の作品をロビーに展示する。
92,制服,せいふく,CHẾ PHỤC,Đồng phục,uniform,日本の中学校には制服のある学校が多い。
93,洗剤,せんざい,TẨY TỄ,"Chất tẩy rửa, xà phòng",detergent,洗剤で食器を洗う。
94,底,そこ,ĐỂ,"Đáy, tận cùng",bottom,くつの底に穴があく。海の底にもぐる。
95,地下,ちか,ĐỊA HẠ,"Dưới lòng đất, tầng hầm","underground, basement",大都市は地下の開発が進んでいる。
96,寺,てら,TỰ,Chùa,temple,寺にお参りする。
97,道路,どうろ,ĐẠO LỘ,"Đường bộ, con đường",road,道路が込む。高速道路を走る。
98,坂,さか,PHẢN,"Con dốc, dốc","hill, slope",急な坂を上る。
99,煙,けむり,YÊN,Khói,smoke,火事のときは、煙に注意して逃げてください。
100,灰,はい,HÔI,"Tro, tàn thuốc",ash,たばこの灰。紙が燃えて灰になる。
101,判,はん,PHÁN,Con dấu,"seal, stamp",書類に判を押す。
102,名刺,めいし,DANH THÍCH,"Danh thiếp, namecard","calling card, business card",パーティーで会った人に名刺を配った。
103,免許,めんきょ,MIỄN HỨA,"Giấy phép, bằng cấp",license,レストランを開くには、調理師の免許が必要だ。
104,多く,おおく,ĐA,"Nhiều, phần lớn","many, much",オリンピックには多くの国が参加した。
105,前半,ぜんはん,TIỀN BÁN,"Nửa đầu, hiệp một",first half,映画の前半はたいくつだったが、後半はおもしろかった。
106,後半,こうはん,HẬU BÁN,"Nửa sau, hiệp hai",second half,試合の後半に逆転した。
107,最高,さいこう,TỐI CAO,"Cao nhất, tuyệt nhất","highest, best",最高気温を記録した。宝くじが当たって最高の気分だ。
108,最低,さいてい,TỐI ĐÊ,"Thấp nhất, tồi tệ nhất","lowest, worst",クラスで最低の点をとってしまった。
109,最初,さいしょ,TỐI SƠ,"Đầu tiên, trước hết","first, beginning",最初にひらがなを、次にカタカナを勉強した。
110,最後,さいご,TỐI HẬU,Cuối cùng,"last, end",あとから来た人は列の最後に並んでください。
111,自動,じどう,TỰ ĐỘNG,Tự động,"automation, automatic",このドアは自動だから、手で開けなくてもいい。
112,種類,しゅるい,CHỦNG LOẠI,"Chủng loại, thể loại","type, kind",公園にはいろいろな種類の花がある。
113,性格,せいかく,TÍNH CÁCH,"Tính cách, tính tình","personality, character",あの人は性格がいいので、みんなに好かれている。
114,性質,せいしつ,TÍNH CHẤT,"Tính chất, bản chất","property, disposition",この布は燃えにくい性質を持っている。
115,順番,じゅんばん,THUẬN PHIÊN,"Thứ tự, lần lượt","order, sequence",発表の順番を決める。
116,番,ばん,PHIÊN,"Lượt, trông coi","turn, watching",次は私の番だ。荷物の番をする。
117,方法,ほうほう,PHƯƠNG PHÁP,"Phương pháp, cách thức","method, way",いい方法を探す。いろいろな方法を試す。
118,製品,せいひん,CHẾ PHẨM,"Sản phẩm, hàng hóa",product,完成した製品を検査する。
119,値上がり,ねあがり,TRỊ THƯỢNG,Tăng giá,price rise,石油が値上がりする。
120,生,なま,SANH,"Tươi sống, nguyên chất","raw, fresh",生の魚。肉を生で食べる。
121,渇く,かわく,KHÁT,Khát (khát nước),become thirsty,のどが渇いた。
122,嗅ぐ,かぐ,KHỨU,Ngửi,smell,においを嗅ぐ。
123,叩く,たたく,KHẤU,"Đập, vỗ, gõ, vỗ tay","spank, tap, knock, clap",ドアをたたく。手をたたいた。
124,殴る,なぐる,ẨU,"Đấm, đánh","punch, hit",教師が生徒を殴って問題になった。
125,ける,ける,,Đá,kick,ボールをける。
126,抱く,だく,BÃO,"Ôm, ẵm","hold, hug",子どもを両手でしっかりと抱く。
127,倒れる,たおれる,ĐẢO,"(Tự) Ngã, đổ, gục ngã","fall over, collapse",台風で木が倒れた。父は働きすぎて倒れてしまった。
128,倒す,たおす,ĐẢO,"(Tha) Đánh đổ, làm ngã, đánh bại","knock over, defeat",花びんを倒して割ってしまった。
129,起きる/起こる,おきる/おこる,KHỞI,"(Tự) Thức dậy, xảy ra","wake up, occur",きょうは8時に起きた。教室で事件が起きた。
130,起こす,おこす,KHỞI,"(Tha) Đánh thức, dựng dậy, gây ra","wake up, cause",朝起こしても起きない。事故を起こす。
131,尋ねる,たずねる,TẦM,"Hỏi, dò hỏi","ask, inquire",交番で警官に市役所までの道を尋ねた。
132,呼ぶ,よぶ,HÔ,"Gọi, kêu, thu hút","call, summon",名前を呼ばれたら返事をする。タクシーを呼ぶ。
133,叫ぶ,さけぶ,KHIẾU,"Hét, la hét","yell, shout",大声で叫んだ。「助けてー」と叫ぶ声。
134,黙る,だまる,MẶC,"Im lặng, làm thinh",be silent,だれも答えないで黙っている。
135,飼う,かう,TỰ,Nuôi (thú cưng),keep a pet,何かペットを飼いたいと思っている。
136,数える,かぞえる,SỔ,Đếm,count,数を数える。
137,乾く,かわく,CAN,"(Tự) Khô, ráo nước",dry,外に干した洗たく物はすぐに乾いた。
138,乾かす,かわかす,CAN,"(Tha) Làm khô, sấy khô",dry something,ドライヤーでぬれた髪を乾かした。
139,畳む,たたむ,ĐIỆP,"Gấp, xếp",fold,洗たく物をたたむ。かさをたたむ。
140,誘う,さそう,DỤ,"Rủ, mời",invite,友だちを誘って映画を見に行った。
141,おごる,おごる,,"Khao, đãi",treat to a meal,きのうは後輩に焼き肉をおごった。
142,預かる,あずかる,DỰ,"Trông nom, giữ hộ","look after, take care of",旅行に行く友だちから犬を預かる。
143,預ける,あずける,DỰ,"Gửi gắm, gửi giữ","deposit, entrust",銀行にお金を預けると利子がつく。
144,決まる,きまる,QUYẾT,(Tự) Được quyết định,be decided,帰国の日が決まった。
145,決める,きめる,QUYẾT,(Tha) Quyết định,decide,進学か就職か、早く決めたほうがいい。
146,写る,うつる,TẢ,"(Tự) Được chụp, chiếu","be photographed, reflected",このカメラは暗いところでもよく写る。
147,写す,うつす,TẢ,"(Tha) Chụp ảnh, chép lại","take a photo, copy",黒板の字をノートに写した。
148,思い出す,おもいだす,TƯ XUẤT,"Nhớ lại, hồi tưởng","remember, recall",高校の入学式を思い出す。
149,教わる,おそわる,GIÁO,"Học được, được dạy","learn, be taught",料理の作り方は母から教わりました。
150,申し込む,もうしこむ,THÂN NHẬP,"Đăng ký, cầu hôn","apply, propose",パーティーに参加を申し込む。
151,断る,ことわる,ĐOẠN,"Từ chối, xin phép","decline, refuse",頼まれた仕事を断った。
152,見つかる,みつかる,KIẾN,"(Tự) Được tìm thấy, bị bắt gặp","be found, be caught",指輪がソファーの下で見つかった。
153,見つける,みつける,KIẾN,"(Tha) Tìm thấy, tìm ra",find,指輪をソファーの下で見つけた。
154,捕まる,つかまる,BỔ,"(Tự) Bị bắt, bám chặt vào","be arrested, hold on to",犯人が警察に捕まった。つり革につかまる。
155,捕まえる,つかまえる,BỔ,"(Tha) Bắt, tóm","arrest, catch",警察が泥棒を捕まえた。川で魚を捕まえる。
156,乗る,のる,THỪA,"(Tự) Lên xe, cưỡi","ride, get on",毎朝、電車に乗って学校に通っている。
157,乗せる,のせる,THỪA,"(Tha) Chở, cho lên xe","give a ride, put on",子どもを車に乗せて送って行った。
158,降りる/下りる,おりる,GIÁNG/HẠ,"(Tự) Xuống (xe, lầu), nhận (chỉ thị/visa)","get off, go down",電車を降りる。階段を下りる。許可が下りた。
159,降ろす/下ろす,おろす,GIÁNG/HẠ,"(Tha) Cho xuống xe, hạ xuống, rút tiền","drop off, lower, withdraw",銀行の前で降ろしてください。お金をおろす。
160,直る,なおる,TRỰC,"(Tự) Được sửa, hồi phục (tính nết)","be fixed, repaired",こわれたパソコンが直った。くせが直らない。
161,直す,なおす,TRỰC,"(Tha) Sửa chữa, chỉnh, dịch","fix, correct, translate",こわれた時計を直す。日本語を英語に直す。
162,治る,なおる,TRỊ,"(Tự) Khỏi bệnh, lành vết thương","get better, heal",頭痛が治らない。けがが治る。
163,治す,なおす,TRỊ,(Tha) Chữa trị,"cure, heal",よく休んで早くかぜを治してください。
164,亡くなる,なくなる,VONG,"(Tự) Mất, qua đời","die, pass away",社長が90歳で亡くなった。
165,亡くす,なくす,VONG,(Tha) Mất (người thân),lose someone,彼は子どものとき父親を亡くした。
166,生まれる,うまれる,SANH,"(Tự) Được sinh ra, ra đời",be born,先月子どもが生まれた。
167,産む/生む,うむ,SẢN/SANH,"(Tha) Sinh, đẻ, tạo ra","give birth, create",妻が女の子を産んだ。新記録を生んだ。
168,出会う,であう,XUẤT HỢP,"Tình cờ gặp, chạm mặt",meet by chance,駅で偶然大学時代の友人と出会った。
169,訪ねる,たずねる,PHỎNG,"Thăm, ghé chơi",visit,友人の家を訪ねた。
170,付き合う,つきあう,PHÓ HỢP,"Giao tiếp, hẹn hò, đi cùng","associate with, date",彼らは付き合って5年目に結婚した。
171,効く,きく,HIỆU,"(Tự) Có hiệu quả, có tác dụng",be effective,この薬は頭痛によく効く。
172,はやる,はやる,,"(Tự) Thịnh hành, lây lan","be popular, spread",この冬は赤い色がはやっている。インフルエンザがはやる。
173,経つ,たつ,KINH,(Tự) Trôi qua (thời gian),"elapse, pass",日本へ来てから10年が経った。
174,間に合う,まニアう,GIAN HỢP,(Tự) Kịp giờ,make it on time,走ってなんとか授業に間に合った。
175,間に合わせる,まにあわせる,GIAN HỢP,(Tha) Làm cho kịp,finish on time,レポートを締め切りに間に合わせた。
176,通う,かよう,THÔNG,"(Tự) Đi lại thường xuyên, thấu hiểu","commute, understand",毎週ピアノのレッスンに通っている。心が通う。
177,込む,こむ,NHẬP,"(Tự) Đông đúc, đông người",be crowded,電車が込む。道が込む。
178,すれ違う,すれちがう,VI,"(Tự) Đi lướt qua nhau, lệch nhau",pass each other,上り列車と下り列車がすれ違った。
179,掛かる,かかる,QUẢI,"(Tự) Tốn (thời gian, tiền), bị treo/phủ","take time/cost, be covered",この調査には費用がかかる。音楽がかかる。
180,掛ける,かける,QUẢI,"(Tha) Phủ, treo, nhân lên, tiêu tốn","cover, take time, multiply",料理にしょうゆをかける。時間をかけて煮る。
181,動く,うごく,ĐỘNG,"(Tự) Hoạt động, cử động","move, work",スイッチを入れても機械が動かない。
182,動かす,うごかす,ĐỘNG,"(Tha) Làm chuyển động, vận hành","move, operate",ひどいけがをして体を動かすこともできない。
183,離れる,はなれる,LY,"(Tự) Cách xa, rời xa","be away from, separated",ふるさとを離れてもう10年になる。
184,離す,はなす,LY,"(Tha) Tách ra, buông ra","move apart, let go",机を離して並べる。手を離さない。
185,ぶつかる,ぶつかる,,"(Tự) Va chạm, bất đồng, trùng lịch","collide, disagree",自転車にぶつかってけがをした。意見がぶつかる。
186,ぶつける,ぶつける,,"(Tha) Đâm vào, tông vào","crash into, hit",車を電柱にぶつけてしまった。
187,こぼれる,こぼれる,,"(Tự) Tràn ra, chảy ra (nước mắt)","be spilled, overflow",お茶がこぼれてしまった。涙がこぼれた。
188,こぼす,こぼす,,"(Tha) Làm đổ, làm tràn, rơi lệ","spill, shed tears",コップを倒して水をこぼしてしまった。
189,ふく,ふく,,"Lau, chùi",wipe,汗をふく。テーブルの上をふく。
190,片付く,かたづく,PHIẾN PHÓ,"(Tự) Được dọn dẹp, được giải quyết","be tidied, be settled",大掃除をして部屋がかたづいた。問題がかたづいた。
191,片付ける,かたづける,PHIẾN PHÓ,"(Tha) Dọn dẹp, hoàn tất","tidy up, settle",机の上をかたづける。仕事をかたづける。
192,包む,つつむ,BAO,"Bọc, gói",wrap,プレゼントをきれいな紙で包む。
193,張る,はる,TRƯƠNG,"Dán, căng ra","put up, stick",壁にポスターを張る。切手を張る。
194,無くなる,なくなる,VÔ,"(Tự) Bị mất, hết đi","be lost, disappear",部屋のかぎがなくなってしまった。自信がなくなる。
195,無くす,なくす,VÔ,"(Tha) Làm mất, đánh mất",lose something,パスポートをなくして困っている。
196,足りる,たりる,TÚC,(Tự) Đủ,"be sufficient, enough",生活するのに全然足りない。時間が足りなかった。
197,残る,のこる,TÀN,"(Tự) Còn lại, sót lại","remain, be left over",料理がたくさん残ってしまった。
198,残す,のこす,TÀN,"(Tha) Để lại, chừa lại",leave behind,ごはんを残してしまった。財産を残す。
199,腐る,くさる,HỦ,"(Tự) Thiu, thối, mục nát","rot, spoil",腐ったものを食べておなかを壊した。
200,むける,むける,,"(Tự) Bị tróc, lột ra",peel off,日焼けをして背中の皮がむけた。
201,むく,むく,,"(Tha) Gọt vỏ, lột vỏ",peel,果物の皮をむく。
202,滑る,すべる,HOẠT,"(Tự) Trượt, trơn trượt","skate, slip",雨の日は道がすべりやすい。
203,積もる,つもる,TÍCH,"(Tự) Tích tụ, chất đống (tuyết/bụi)","accumulate, pile up",きのう降った雪が積もっている。
204,積む,つむ,TÍCH,"(Tha) Chồng lên, tích lũy, chất hàng","pile, load, accumulate",車に荷物を積む。経験を積む。
205,空く,あく,KHÔNG,"(Tự) Trống rỗng, thủng, rảnh rỗi","be vacant, open",くつしたに穴が空いた。席が空く。土曜日なら空いている。
206,空ける,あける,KHÔNG,"(Tha) Đục lỗ, để trống, chừa thời gian","open a hole, vacate",かべに穴を空ける。席を空ける。
207,下がる,さがる,HẠ,"(Tự) Hạ xuống, lùi lại","go down, step back",熱が下がる。白線の内側に下がる。
208,下げる,さげる,HẠ,"(Tha) Hạ thấp, dọn đĩa","lower, take away",値段を下げる。お皿をお下げする。
209,冷える,ひえる,LÃNH,"(Tự) Lạnh đi, nguội lạnh","be chilled, cool down",手足が冷えてしまった。ジュースが冷える。
210,冷やす,ひやす,LÃNH,"(Tha) Làm lạnh, bình tĩnh lại","chill, cool down",果物を冷やす。頭を冷やす。
211,冷める,さめる,LÃNH,"(Tự) Nguội đi, mất hứng","get cold, lose passion",この料理は冷めるとおいしくない。気持ちが冷める。
212,冷ます,さます,LÃNH,(Tha) Làm nguội,let cool,お風呂のお湯を少し冷ましてから入ろう。
213,燃える,もえる,NHIÊN,"(Tự) Cháy, bốc cháy","burn, be passionate",火が燃える。希望に燃えて大学に入った。
214,燃やす,もやす,NHIÊN,"(Tha) Đốt cháy, nung nấu",burn something,紙を燃やす。ファイトを燃やす。
215,沸く,わく,PHÍ,"(Tự) Sôi lên, sôi sục (khán phòng)","boil, be excited",湯がわく。会場がわいた。
216,沸かす,わかす,PHÍ,"(Tha) Đun sôi, hâm nóng","boil, make exciting",湯をわかす。会場をわかした。
217,鳴る,なる,MINH,"(Tự) Kêu, vang lên","ring, sound, rumble",雷が鳴っている。携帯電話が鳴る。
218,鳴らす,ならす,MINH,"(Tha) Bấm còi, làm kêu",sound a buzzer/horn,ブザーを鳴らす。
219,役立つ/役に立つ,やくだつ/やくにたつ,DỊCH LẬP,"(Tự) Có ích, có tác dụng","be useful, helpful",インターネットの情報は勉強に役立つ。
220,役立てる/役に立てる,やくだてる/やくにたてる,DỊCH LẬP,"(Tha) Ứng dụng, tận dụng",put to use,インターネットの情報を仕事に役立てる。
221,飾り,かざり,SỨC,Đồ trang trí,decoration,クリスマスの飾りを買った。
222,遊び,あそび,DU,"Trò chơi, vui chơi","play, game",かくれんぼは子どもの遊びだ。
223,集まり,あつまり,TẬP,"Cuộc tập hợp, tụ họp",gathering,マンションの住人の集まりがある。
224,教え,おしえ,GIÁO,"Lời dạy, giáo huấn",teachings,母の教えを今でも思い出す。
225,踊り,おどり,DŨNG,"Điệu nhảy, khiêu vũ",dance,留学生が各国の踊りを踊った。
226,思い,おもい,TƯ,"Tình cảm, suy nghĩ","thoughts, feelings",あの人に私の思いが届いた。
227,考え,かんがえ,KHẢO,"Ý nghĩ, ý tưởng","thought, idea",私にいい考えがある。
228,片づけ,かたづけ,PHIẾN PHÓ,Sự dọn dẹp,"tidying, cleanup",私は片づけが苦手だ。
229,手伝い,てつだい,THỦ TRUYỀN,Sự giúp đỡ,"help, assistance",引っ越しの手伝いをする。
230,働き,はたらき,ĐỘNG,"Chức năng, công lao","function, action",血液の働きの一つは体に栄養を運ぶことだ。
231,決まり,きまり,QUYẾT,"Quy định, quy tắc","rule, regulation",学校で新しい決まりが作られた。
232,騒ぎ,さわぎ,TAO,"Sự ồn ào, náo động","commotion, noise",駅前で騒ぎがあった。
233,知らせ,しらせ,TRI,"Tin tức, thông báo","news, notification",父が入院したという知らせがあった。
234,頼み,たのみ,LẠI,"Lời nhờ vả, yêu cầu",request,あなたに頼みがあるんです。
235,疲れ,つかれ,BÌ,Sự mệt mỏi,fatigue,仕事で疲れがたまっている。
236,違い,ちがい,VI,Sự khác nhau,difference,この二つの違いがわからない。
237,始め,はじめ,THỦY,"Khởi đầu, ban đầu",beginning,本を始めから終わりまで全部読んだ。
238,続き,つづき,TỤC,Phần tiếp theo,continuation,早く本の続きが読みたい。
239,暮れ,くれ,MỘ,"Cuối năm, xế bóng",end of year,年の暮れは忙しい。
240,行き,いき/ゆき,HÀNH,"Lượt đi, đi về hướng","going, bound for",行きは新幹線、帰りは飛行機だった。
241,帰り,かえり,QUY,"Lượt về, đường về","return, coming back",会社の行き帰りにコンビニに寄る。
242,急ぎ,いそぎ,CẤP,"Sự khẩn cấp, gấp rút",urgency,急ぎの仕事が入った。
243,遅れ,おくれ,TRÌ,"Sự chậm trễ, muộn màng",delay,電車に3分の遅れが出た。
244,貸し,かし,THẢI,"Sự cho vay, ơn nghĩa","loan, credit",あの人には10万円の貸しがある。
245,借り,かり,TÁ,"Khoản nợ, vay mượn","debt, borrowing",借りは返さなければならない。
246,勝ち,かち,THẮNG,Chiến thắng,"victory, win",きょうの試合はAチームの勝ちだった。
247,負け,まけ,PHỤ,"Thua trận, thất bại","defeat, loss",負けが続いていやになった。
248,迎え,むかえ,NGHÊNH,Sự đón tiếp,"pick-up, welcome",迎えの車がなかなか来ない。
249,始まり,はじまり,THỦY,Sự bắt đầu,beginning,映画の始まりに間に合わなかった。
250,終わり,おわり,CHUNG,Sự kết thúc,"end, finish",夏休みはもうすぐ終わりだ。
